Table 1: n>6, FLOPS<600 (n  L  H  FLOPS)
 10  58    2    500
 10  59    2    508
 10  60    2    516
 10  61    2    524
 10  62    2    532
 10  63    2    540
 10  64    2    548
 10  65    2    556
 10  66    2    564
 10  67    2    572
 10  68    2    580
 10  69    2    588
 10  70    2    596
 11   1    2     48
 11   1    3     72
 11   1    4     96
 11   1    5    120
 11   1    6    144
 11   1    7    168
 11   1    8    192
 11   1    9    216
 11   1   10    240
 11   1   11    264
 11   1   12    288
 11   1   13    312
 11   1   14    336
 11   1   15    360
 11   1   16    384
 11   1   17    408
 11   1   18    432
 11   1   19    456
 11   1   20    480
 11   1   21    504
 11   1   22    528
 11   1   23    552
 11   1   24    576
 11   2    2     56
 11   2    3     90
 11   2    4    128
 11   2    5    170
 11   2    6    216
 11   2    7    266
 11   2    8    320
 11   2    9    378
 11   2   10    440
 11   2   11    506
 11   2   12    576
 11   3    2     64
 11   3    3    108
 11   3    4    160
 11   3    5    220
 11   3    6    288
 11   3    7    364
 11   3    8    448
 11   3    9    540
 11   4    2     72
 11   4    3    126
 11   4    4    192
 11   4    5    270
 11   4    6    360
 11   4    7    462
 11   4    8    576
 11   5    2     80
 11   5    3    144
 11   5    4    224
 11   5    5    320
 11   5    6    432
 11   5    7    560
 11   6    2     88
 11   6    3    162
 11   6    4    256
 11   6    5    370
 11   6    6    504
 11   7    2     96
 11   7    3    180
 11   7    4    288
 11   7    5    420
 11   7    6    576
 11   8    2    104
 11   8    3    198
 11   8    4    320
 11   8    5    470
 11   9    2    112
 11   9    3    216
 11   9    4    352
 11   9    5    520
 11  10    2    120
 11  10    3    234
 11  10    4    384
 11  10    5    570
 11  11    2    128
 11  11    3    252
 11  11    4    416
 11  12    2    136
 11  12    3    270
 11  12    4    448
 11  13    2    144
 11  13    3    288
 11  13    4    480
 11  14    2    152
 11  14    3    306
 11  14    4    512
 11  15    2    160
 11  15    3    324
 11  15    4    544
 11  16    2    168
 11  16    3    342
 11  16    4    576
 11  17    2    176
 11  17    3    360
 11  18    2    184
 11  18    3    378
 11  19    2    192
 11  19    3    396
 11  20    2    200
 11  20    3    414
 11  21    2    208
 11  21    3    432
 11  22    2    216
 11  22    3    450
 11  23    2    224
 11  23    3    468
 11  24    2    232
 11  24    3    486
 11  25    2    240
 11  25    3    504
 11  26    2    248
 11  26    3    522
 11  27    2    256
 11  27    3    540
 11  28    2    264
 11  28    3    558
 11  29    2    272
 11  29    3    576
 11  30    2    280
 11  30    3    594
 11  31    2    288
 11  32    2    296
 11  33    2    304
 11  34    2    312
 11  35    2    320
 11  36    2    328
 11  37    2    336
 11  38    2    344
 11  39    2    352
 11  40    2    360
 11  41    2    368
 11  42    2    376
 11  43    2    384
 11  44    2    392
 11  45    2    400
 11  46    2    408
 11  47    2    416
 11  48    2    424
 11  49    2    432
 11  50    2    440
 11  51    2    448
 11  52    2    456
 11  53    2    464
 11  54    2    472
 11  55    2    480
 11  56    2    488
 11  57    2    496
 11  58    2    504
 11  59    2    512
 11  60    2    520
 11  61    2    528
 11  62    2    536
 11  63    2    544
 11  64    2    552
 11  65    2    560
 11  66    2    568
 11  67    2    576
 11  68    2    584
 11  69    2    592
 12   1    2     52
 12   1    3     78
 12   1    4    104
 12   1    5    130
 12   1    6    156
 12   1    7    182
 12   1    8    208
 12   1    9    234
 12   1   10    260
 12   1   11    286
 12   1   12    312
 12   1   13    338
 12   1   14    364
 12   1   15    390
 12   1   16    416
 12   1   17    442
 12   1   18    468
 12   1   19    494
 12   1   20    520
 12   1   21    546
 12   1   22    572
 12   1   23    598
 12   2    2     60
 12   2    3     96
 12   2    4    136
 12   2    5    180
 12   2    6    228
 12   2    7    280
 12   2    8    336
 12   2    9    396
 12   2   10    460
 12   2   11    528
 12   3    2     68
 12   3    3    114
 12   3    4    168
 12   3    5    230
 12   3    6    300
 12   3    7    378
 12   3    8    464
 12   3    9    558
 12   4    2     76
 12   4    3    132
 12   4    4    200
 12   4    5    280
 12   4    6    372
 12   4    7    476
 12   4    8    592
 12   5    2     84
 12   5    3    150
 12   5    4    232
 12   5    5    330
 12   5    6    444
 12   5    7    574
 12   6    2     92
 12   6    3    168
 12   6    4    264
 12   6    5    380
 12   6    6    516
 12   7    2    100
 12   7    3    186
 12   7    4    296
 12   7    5    430
 12   7    6    588
 12   8    2    108
 12   8    3    204
 12   8    4    328
 12   8    5    480
 12   9    2    116
 12   9    3    222
 12   9    4    360
 12   9    5    530
 12  10    2    124
 12  10    3    240
 12  10    4    392
 12  10    5    580
 12  11    2    132
 12  11    3    258
 12  11    4    424
 12  12    2    140
 12  12    3    276
 12  12    4    456
 12  13    2    148
 12  13    3    294
 12  13    4    488
 12  14    2    156
 12  14    3    312
 12  14    4    520
 12  15    2    164
 12  15    3    330
 12  15    4    552
 12  16    2    172
 12  16    3    348
 12  16    4    584
 12  17    2    180
 12  17    3    366
 12  18    2    188
 12  18    3    384
 12  19    2    196
 12  19    3    402
 12  20    2    204
 12  20    3    420
 12  21    2    212
 12  21    3    438
 12  22    2    220
 12  22    3    456
 12  23    2    228
 12  23    3    474
 12  24    2    236
 12  24    3    492
 12  25    2    244
 12  25    3    510
 12  26    2    252
 12  26    3    528
 12  27    2    260
 12  27    3    546
 12  28    2    268
 12  28    3    564
 12  29    2    276
 12  29    3    582
 12  30    2    284
